127.0.0.1 - - [30/Sep/2022:14:18:02 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:20:50 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 144883
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:25:02 +0900] "GET /ch06/addproduct.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:25:02 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:25:03 +0900] "GET /ch06/addproduct.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:25:21 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:25:23 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:25:51 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:26:10 +0900] "GET /ch06/product.jsp?id=P1234 HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:28:59 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:28:59 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:29:04 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:31:19 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 200 1826
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:31:19 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:33:52 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:33:52 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:33:59 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 200 2775
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:35:07 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:36:11 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 200 3016
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:36:11 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:36:43 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:36:59 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:36:59 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:37:00 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:37:20 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 200 3016
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:37:27 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:41:03 +0900] "GET /ch06/form01.jsp HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [30/Sep/2022:18:01:17 +0900] "GET /Homework/ch06/form01.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [30/Sep/2022:18:05:14 +0900] "GET /Homework/ch06/form01.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [30/Sep/2022:18:05:21 +0900] "POST /Homework/ch06/form01_process.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [30/Sep/2022:18:06:20 +0900] "GET /Homework/ch06/form01.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [30/Sep/2022:18:06:23 +0900] "POST /Homework/ch06/form01_process.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [30/Sep/2022:18:17:00 +0900] "GET /Homework/ch06/form03.jsp HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [30/Sep/2022:18:17:00 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Sep/2022:18:17:05 +0900] "POST /Homework/ch06/form03_process.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [30/Sep/2022:18:17:09 +0900] "POST /Homework/ch06/form03_process.jsp HTTP/1.1" 200 156
